Table,,,,
Marks ,GP,Grade,,
,,,0.55,Zero point five five
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.56,Zero point five six
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.57,Zero point five seven
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.58,Zero point five eight
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.59,Zero point five nine
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.60,Zero point six
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.61,Zero point six one
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.62,Zero point six two
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.63,Zero point six three
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.64,Zero point six four
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.65,Zero point six five
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.66,Zero point six six
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.67,Zero point six seven
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.68,Zero point six eight
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.69,Zero point six nine
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.70,Zero point seven
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.71,Zero point seven one
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.72,Zero point seven two
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.73,Zero point seven three
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.74,Zero point seven four
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.75,Zero point seven five
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.76,Zero point seven six
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.77,Zero point seven seven
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.78,Zero point seven eight
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.79,Zero point seven nine
,,,0.80,Zero point eight
,,,0.80,Zero point eight
,,,0.80,Zero point eight
